"product_code";"active";"name";"price";"vat";"unit";"category";"producer";"description";"stock";"availability";"delivery";"barcode";"images 1";"images 2";"images 3";"images 4";"images 5";"weight";"producer_code";"vendor_url"
"1158";"1";"Nakładki jednorazowe sedesowe 10 szt., Toly Kids";"5.28";"23";"szt.";"TOLY - SAFE SEAT SOLUTIONS";"TOLY - SAFE SEAT SOLUTIONS";"<p>Jak chronić dzieci w publicznej toalecie? Rodzice najczęściej starają się położyć papier toaletowy lub przytrzymują dziecko nad muszlą sedesową. Niestety nie są to w pełni komfortowe warunki dla załatwiania pilnych potrzeb fizjologicznych. Nakładki Toly Kids są niezastąpione w ułatwianiu korzystania z toalet poza domem. Te jednorazowe nakładki sedesowe dla dzieci są przyjemne i bezpieczne, mają kolorowe i zabawne nadruki zwierząt.</p> <p>Nakładka jest szersza niż standardowa deska, dlatego dzieci nie mają bezpośredniego kontaktu z deską sedesową. Nakładka od wewnętrznej strony ma języczek, który ułatwia spłukiwanie nakładki - nie trzeba jej zdejmować i wyrzucać do kosza. Jednorazowe nakładki zapewniają dzieciom maksymalną ochronę podczas korzystania z publicznych toalet.</p> <ul> <li>nakładki w pełni pokrywają obszar muszli sedesowej</li> <li>łatwe spłukiwanie dzięki specjalnemu języczkowi, który wisi w muszli klozetowej - bez dotykania sedesu</li> <li>żadna część nakładki nie dotyka ziemi</li> <li>języczek pełni również dodatko siadających na muszli sedesowej, gdyż często zdarza im się przypadkowo dotknąć wewnętrzną części muszli klozetowej</li> <li>zawsze pod ręką</li> <li>rozpuszcza się 4 razy szybciej niż papier toaletowy (nie zatykają muszli)</li> <li>wykonane z papieru z recyklingu - przyjazne dla środowiska</li> <li>karton zbiorczy zawiera 24 opakowania po 10 sztuk</li> </ul> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p>";"1493";"auto";"3 dni";"4001672000592";"https://www.babyandtravel.pl/data/gfx/pictures/large/8/5/1158_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/8/5/1158_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/8/5/1158_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/8/5/1158_4.jpg";"";"";"";""
"1189";"1";"Suszarka na butelki i smoczki, różowa, b.box";"50.41";"23";"szt.";"SUSZARKI";"B.BOX";"<p>Ten kompaktowy stojak do suszenia butelek i akcesoriów jest gwarancją czystej i higienicznej powierzchni przeznaczonej tylko i wyłącznie do jednego celu – by suszyć butelki i kubki Twojego maleństwa gdziekolwiek jesteś. Szczególnie przydatny w podróży, na wyjeździe – gdzie przestrzeń kuchenna jest znacznie ograniczona i samemu trzeba sobie ją organizować.</p> <p>Suszarka ta jest składana prawie na płasko i można ją spakować np. do torby na pieluchy czy innego podręcznego bagażu. Można na niej wysuszyć 6 butelek lub kubków wraz z akcesoriami.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Nadaje się do mycia w zmywarce</li> <li>Doskonała do suszenia butelek, smoczków, niekapków itp.</li> <li>Kolor: różowy</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Materiał: polipropylen (PP)</li> <li>Wymiary złożonej suszarki: 23,5 × 19,3 cm i rozłożonej: 36,5 × 23,5 × 14 cm</li> <li>Wolna od BPA, ftalanów i PVC</li> </ul> <p> </p> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/bbox-akcesoria-1819017515001309/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/bboxakcesoria/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><iframe src=""https://www.youtube.com/embed/TxxZlN3WR24"" frameborder=""0"" width=""854"" height=""480""></iframe></p> <p><iframe src=""https://www.youtube.com/embed/NYds3jL_A68"" frameborder=""0"" width=""560"" height=""315""></iframe></p> <p><strong>Uzupełnij produkt o: <span style=""color: #008080;""><span style=""color: #b9c733;""><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_bidon-ze-slomka-bbox-1259.html"">bidon b.box</a></span> </span> ze słomką | <span style=""color: #008080;""><span style=""color: #b9c733;""><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_silikonowe-lyzeczki-1262.html"">silikonowe sztućce</a></span></span></strong></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"1";"auto";"3 dni";"9319064003416";"https://www.babyandtravel.pl/data/gfx/pictures/large/9/8/1189_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/9/8/1189_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/9/8/1189_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/9/8/1189_5.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/9/8/1189_6.jpg";"";"";""
"1190";"0";"Organizer na akcesoria dziecięce, Choc Chip, b.box";"228.46";"23";"szt.";"ORGANIZERY";"B.BOX";"<p>Organizer b.box to lekka i przenośna stacja zmiany pieluszek. Dzięki niemu masz wszystko, czego potrzeba do zmiany pieluszek pod ręką. Jest to bardzo wygodne rozwiązanie, które będzie się przemieszczać razem z Tobą po całym domu – szczególnie, jeśli dysponujesz więcej niż jedną kondygnacją (bardzo przydatne w dużych mieszkaniach dwupoziomowych czy domkach jednorodzinnych).</p> <p>Organizer ten jest nie tylko funkcjonalny, ale również i elegancki. Z pewnością wpasuje się do każdego wnętrza. Przyda się także w okresie odpieluszkowania dziecka, gdy uczy się ono korzystać z nocniczka czy toalety. Po prostu wypełnij odpowiednie przegródki chusteczkami, pieluszkami i włóż dołączony podkład – organizer gotowy do użycia. Wykonano go z trwałych materiałów (mata do przewijania powleczona poliestrem) wolnych od BPA, ftalanów i PVC.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Łatwe czyszczenie wewnętrznej i zewnętrznej warstwy – wystarczy przetrzeć wilgotną szmatką</li> <li>Miejsce z oknem na chusteczki</li> <li>Duża szuflada do przechowywania drobiazgów (kremów itp.)</li> <li>Wyjmowana przegroda</li> <li>Kolor: Choc Chip</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Wymiary pojemnika: 28 × 24 × 23 cm</li> <li>Wymiary rozłożonej maty: 48 × 43 cm</li> <li>Wolne od BPA, ftalanów i PVC</li> </ul> <p> </p> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/bbox-akcesoria-1819017515001309/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/bboxakcesoria/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><iframe src=""https://www.youtube.com/embed/KgO6gbbSOK0"" frameborder=""0"" width=""560"" height=""315""></iframe></p> <p><strong>Uzupełnij produkt o: <span style=""color: #008080;""><span style=""color: #b9c733;""><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_przewijaki-1269.html "">przewijak</a></span> </span> | </strong><span style=""color: #008080;""><strong><span style=""color: #b9c733;""><strong><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_sliniaczki-podrozne-1268.html "">śliniak dla dziecka</a></strong></span></strong></span></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"0";"auto";"3 dni";"9319064006110";"https://www.babyandtravel.pl/data/gfx/pictures/large/0/9/1190_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/0/9/1190_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/0/9/1190_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/0/9/1190_4.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/0/9/1190_5.jpg";"";"";""
"1191";"0";"Suszarka na butelki i smoczki, zielony, b.box";"50.41";"23";"szt.";"SUSZARKI";"B.BOX";"<p>Ten kompaktowy stojak do duszenia butelek i akcesoriów jest gwarancją czystej i higienicznej powierzchni przeznaczonej tylko i wyłącznie do jednego celu – by suszyć butelki i kubki Twojego maleństwa gdziekolwiek jesteś. Szczególnie przydatny w podróży, na wyjeździe – gdzie przestrzeń kuchenna jest znacznie ograniczona i samemu trzeba sobie ją organizować.</p> <p>Suszarka ta jest składana prawie na płasko i można ją spakować np. do torby na pieluchy czy innego podręcznego bagażu. Można na niej wysuszyć 6 butelek lub kubków wraz z akcesoriami.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Doskonała do suszenia butelek, smoczków, niekapków itp.</li> <li>Kolor: zielony</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Materiał: polipropylen (PP)</li> <li>Wolna od BPA, ftalanów i PVC</li> <li>Wymiary złożonej suszarki: 23,5 × 19,3 cm i rozłożonej: 36,5 × 23,5 × 14 cm</li> <li>Można myć w zmywarce</li> </ul> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/bbox-akcesoria-1819017515001309/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/bboxakcesoria/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><iframe src=""https://www.youtube.com/embed/TxxZlN3WR24"" frameborder=""0"" width=""854"" height=""480""></iframe></p> <p><iframe src=""https://www.youtube.com/embed/NYds3jL_A68"" frameborder=""0"" width=""560"" height=""315""></iframe></p> <p><strong>Uzupełnij produkt o: <span style=""color: #008080;""><span style=""color: #b9c733;""><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_bidon-ze-slomka-bbox-1259.html"">bidon b.box</a></span> </span> ze słomką | <span style=""color: #008080;""><span style=""color: #b9c733;""><a style=""color: #b9c733;"" href=""https://www.babyandtravel.pl/zul_m_marki_b-box_silikonowe-lyzeczki-1262.html"">silikonowe sztućce</a></span></span></strong></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"0";"auto";"3 dni";"9319064003423";"https://www.babyandtravel.pl/data/gfx/pictures/large/1/9/1191_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/1/9/1191_5.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/1/9/1191_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/1/9/1191_6.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/1/9/1191_7.jpg";"";"";""
"1083";"1";"2w1 Potette Plus: Nocnik dla dziecka i nakładka na toaletę, biało-niebieski, Potette Plus";"64.23";"23";"szt.";"NOCNIKI";"POTETTE PLUS";"<p>Jest to wielokrotnie nagradzany produkt typu 2 w 1 – nocnik i nakładka na toaletę<span>, która pasuje na każdy rodzaj muszli</span>. W zależności od potrzeb nocniczek można wyposażyć w silikonowy wkład który znacznie ułatwia jego utrzymanie w czystości kiedy używany jest w domu lub w jednorazowe, pochłaniające ciecz i przykre zapachy woreczki, dzięki którym nocnik stanie się idealnym rozwiązaniem turystycznym.<br /> Z nocniczkiem tym, dużo łatwiej jest przetrwać okres <span style=""color: #000000;""><a style=""color: #000000;"" href=""https://www.babyandtravel.pl/Odpieluchowanie-dziecka-cabout-pol-49.html"">odpieluszkowania</a></span> maluchów i przyuczania dzieci starszych do samodzielnego korzystania z toalety. <br /> <br /> Gwarantem bezpiecznego użytkowania są nóżki z systemem antypoślizgowym. Jest to zapewnienie dziecku maksimum higieny i bezpieczeństwa podczas korzystania z toalety w miejscach publicznych. Nowatorski system składania nóżek oraz jego lekkość sprawiają, że jest to nocnik bardzo praktyczny i wygodny w transporcie. Przyda się wszędzie tam, gdzie zabierasz ze sobą dziecko - poczynając od spaceru, placu zabaw poprzez samochód, pociąg, plażę aż po leśny biwak czy pobyt w szpitalu.<br /> <br /> Niewielkie rozmiary i waga sprawiają, że można go mieć zawsze przy sobie, gdyż zmieści sie w podręcznej torbie na pieluchy czy wózkowym koszyku.</p> <p>Nocnik zalecany jest do użytku przez dzieci w wieku od 15 miesięcy, natomiast nakładka może być stosowana od 24 miesiąca życia nawet do 6 roku życia. Maksymalne obciążenie produktu wynosi 25 kg. Nocniczek został wykonany z materiałów o wysokiej jakości i pasuje do wszystkich desek sedesowych. </p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Dwufunkcyjny nocnik</li> <li>Kolor: biały z niebieskimi nóżkami</li> <li>Produkt wielokrotnie nagradzany   </li> <li>Maksimum higieny</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Wymiary po złożeniu: 22x23x7 cm (dł. x szer. x wys.)</li> <li>Wymiary nocnika w użyciu: 22x23x13 cm (dł. x szer. x wys.)</li> <li>Wymiary nakładki na sedes: 22x36x7 cm (dł. x szer. x wys.) </li> <li>Zestaw zawiera: nocnik, 3 wkłady i etui.</li> </ul> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/PotettePlusPolska/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/potetteplus/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"308";"auto";"3 dni";"5060126200000";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/8/1083_9.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/8/1083_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/8/1083_4.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/8/1083_6.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/8/1083_8.jpg";"";"";""
"1085";"1";"Wkłady jednorazowe do Nocnika 10 szt., Potette Plus";"19.51";"23";"szt.";"AKCESORIA";"POTETTE PLUS";"<p dir=""ltr"">Wkłady jednorazowe do nocnika Potette Plus<br />Turystyczny nocnik Potette Plus możesz zawsze zabrać ze sobą, gdy tylko wychodzisz z domu. W takiej sytuacji niezbędne są wkłady jednorazowe, które działają podobnie jak pieluszki jednorazowe. Doskonale absorbują ciecze i pochłaniają nieprzyjemne zapachy i tym samy  pomagają utrzymać nocnik w czystości w warunkach polowych. <br />Wkładka ta może pochłonąć aż 150 ml, gdyż ma specjalną część - podobną do tej w pieluszce jednorazowej. Ponadto delikatnie pachnie i doskonale chłonie drażniącą woń. Wkład pozwala na bezpieczne korzystanie z nocniczka Potette Plus na spacerze, wakacjach, w podróży, centrum handlowym, szpitalu itp. Produkt jest kompatybilny z nocnikiem Potette Plus.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Jednorazowe</li> <li>Higieniczne</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Opakowanie zawiera 10 szt.</li> </ul> <p dir=""ltr""><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/PotettePlusPolska/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/potetteplus/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p dir=""ltr""><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p>";"304";"auto";"3 dni";"1088161230138";"https://www.babyandtravel.pl/data/gfx/pictures/large/5/8/1085_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/5/8/1085_5.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/5/8/1085_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/5/8/1085_6.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/5/8/1085_8.jpg";"";"";""
"1086";"1";"Wkłady jednorazowe do Nocnika 30 szt., Potette Plus";"37.40";"23";"szt.";"AKCESORIA";"POTETTE PLUS";"<h2 dir=""ltr"">Wkłady jednorazowe do nocnika Potette Plus.</h2> <p>Nocnik Potette Plus możesz zawsze zabrać ze sobą, gdy tylko wychodzisz z domu. W takiej sytuacji niezbędne są wkłady jednorazowe, które działają podobnie jak pieluszki jednorazowe. Doskonale absorbują ciecze i pochłaniają nieprzyjemne zapachy i tym samy  pomagają utrzymać nocnik w czystości w warunkach polowych. <br />Wkładka ta może pochłonąć aż 150 ml, gdyż ma specjalną część - podobną do tej w pieluszce jednorazowej.</p> <p>Ponadto delikatnie pachnie i doskonale chłonie drażniącą woń. Wkład pozwala na bezpieczne korzystanie z nocniczka Potette Plus na spacerze, wakacjach, w podróży, centrum handlowym, szpitalu itp. Produkt jest kompatybilny z nocnikiem Potette Plus.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li>Jednorazowe</li> <li>Higieniczne</li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Opakowanie zawiera 30 szt.</li> </ul> <p dir=""ltr""><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/PotettePlusPolska/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/potetteplus/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p dir=""ltr""><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p>";"531";"auto";"3 dni";"1088161541722";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/8/1086_6.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/8/1086_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/8/1086_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/8/1086_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/8/1086_4.jpg";"";"";""
"1133";"0";"Torba termiczna, Fill`n Squeeze";"47.97";"23";"szt.";"FILLN SQUEEZE";"FILLN SQUEEZE";"<p>Pojemna i elegancka torba termiczna, dzięki której zawsze będziesz mieć świeże jedzonko dla Swojej pociechy. Jest to rzecz niezbędna podczas długich spacerów czy wyjazdów. Z tą torbą termoizolacyjną masz pewność, że Twoje dziecko nawet po kilku godzinach dostanie świeży, zdrowy i smaczny posiłek, gdyż jego walory smakowe nie ulegną zmianie.</p> <p>Dzięki termoizolacyjnym właściwościom torba Fill’n Squeeze jedzenie utrzymuje pożądaną temperaturę przez około 4-5 godzin. Ma długą klapę zamykaną na rzep – zawartość nie ma prawa się wysunąć, a dla wygodniejszego noszenia została wyposażona w poręczny uchwyt. Po bogach wszyto dwie siateczkowe kieszonki na dodatkowe drobiazgi. Jest pojemna, gdyż zmieści aż 5 l pożywienia. Torbę wykonano z wysokiej jakości materiałów.</p> <p>• Chłodzi żywność do 5 godzin</p> <p>• Higieniczna, łatwa w czyszczeniu (przecierać wilgotną szmatką lub gąbką)</p> <p>• Podszewka wykonana z PVC</p> <p>• Poręczny uchwyt do przenoszenia</p> <p>• Zewnętrzne siatki na drobiazgi</p> <p>• Nowoczesny design</p> <p>• Wymiary: 27x20,5x12,5 cm (wys./szer./gł.)</p> <p>• Kolor: seledynowa</p> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/fillnsqueezepl/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/fillnsqueezepl/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"0";"auto";"3 dni";"5060332150083";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/3/1133_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/3/1133_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/3/1133_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/3/1133_4.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/3/3/1133_5.jpg";"";"";""
"1196";"0";"Gryzak do podawania pokarmów, różowy, b.box";"35.77";"23";"szt.";"GRYZACZKI";"B.BOX";"<p><span>Jest to gryzak inny niż wszystkie, gdyż pozwala dziecku poznawać nowe smaki, tekstury czy kolory w bezpieczny sposób. Już pięciomiesięczne maluchy mogą cieszyć się smakiem melona, jabłuszka, gruszki, jagody czy innych owoców oraz warzyw. Jest to również doskonała alternatywa dla ukojenia bólu towarzyszącemu ząbkowaniu. Wystarczy włożyć kostkę lodu lub kawałek zimnego owocu do siateczki i gotowe. Produkt w</span>olny od BPA, ftalanów i PVC.</p> <p><strong>Właściwości produktu:</strong></p> <ul> <li><span>wygodny uchwyt dopasowany do malutkiej rączki</span></li> <li>higieniczny</li> <li><span>w zestawie dwa woreczki z siateczki</span></li> </ul> <p><strong>Parametry techniczne:</strong></p> <ul> <li>Materiał: polipropylen, sitaki i TPE</li> <li>Wymiary: 14 x 5,7 cm</li> <li>Brak BPA, ftalanów i PCV</li> <li>Można myć w zmywarce</li> </ul> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na <a href=""https://www.facebook.com/bbox-akcesoria-1819017515001309/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/bboxakcesoria/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></span></p> <p><iframe src=""https://www.youtube.com/embed/MhjKgRFDvAI"" frameborder=""0"" width=""854"" height=""480""></iframe></p> <p><iframe src=""https://www.youtube.com/embed/Inx1YfpDr8Y"" frameborder=""0"" width=""560"" height=""315""></iframe></p> <p><iframe src=""https://www.youtube.com/embed/MhjKgRFDvAI"" frameborder=""0"" width=""854"" height=""480""></iframe></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"0";"auto";"3 dni";"9353965003335";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/9/1196_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/9/1196_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/9/1196_4.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/9/1196_6.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/6/9/1196_2.jpg";"";"";""
"1197";"0";"Przewijak w etui z miejscem na pieluchy i chusteczki, Flower Power, b.box";"72.36";"23";"szt.";"PRZEWIJAK W ETUI";"B.BOX";"<p>Podróżny przewijak - bardzo wygodny i praktyczny pojemnik otwierany przy użyciu jednej ręki. Nazwany przez producenta ""diaper wallet"" co oznacza portfel na pieluszki i tak faktycznie jest - zmieści się do torebki damskiej czy plecaka. Pojemnik zawiera łatwą do czyszczenia matę do przewijania. Wewnątrz pojemnika znajdują się  wbudowane  przegródki z miejscem na pampersy, wilgotne chusteczki i woreczki jednorazowe. Wszystko co niezbędne do przewijania w jednym miejscu. Unikalnie zaprojektowany luk zapewnia dostęp do wilgotnych chusteczek zarówno z zewnątrz jak i  wewnątrz pudełka. Sprężysty uchwyt  utrzymuje matę oraz pieluszki na właściwym miejscu.</p> <p><strong>Parametry techniczne:</strong></p> <ul> <li>wykonany z solidnego propylenowego plastiku, który gwarantuje stałość kształtu zapakowanego  pojemnika</li> <li> nie zawiera BPA, Ftalanów i PVC</li> <li> wymiary pojemnika: 25 x 15,3 x 5,9 cm</li> <li> wymiary maty: 48 x 43 cm</li> </ul> <p><span>Najnowsze informacje, zdjęcia, a także cenne wskazówki dotyczące produktu znajdziesz na </span><a href=""https://www.facebook.com/bbox-akcesoria-1819017515001309/?fref=ts""><img src=""/data/include/cms/fb-1.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span> oraz </span><a href=""https://www.instagram.com/bboxakcesoria/""><img src=""/data/include/cms/instagram_yeni_logo_app_2-300x300.png"" border=""0"" alt="""" width=""19"" height=""19"" /></a><span>.</span></p> <p><iframe src=""https://www.youtube.com/embed/RLeHggxr060"" frameborder=""0"" width=""854"" height=""480""></iframe> <iframe src=""https://www.youtube.com/embed/nhDyetiH9sA"" frameborder=""0"" width=""854"" height=""480""></iframe></p> <p><iframe src=""https://www.youtube.com/embed/KgO6gbbSOK0"" frameborder=""0"" width=""560"" height=""315""></iframe></p> <p><span>Kolory przedstawione na zdjęciach ze względu na przekaz elektroniczny mogą nieznacznie różnić się od oryginału.</span></p> <p> </p>";"0";"auto";"3 dni";"9319064004659";"https://www.babyandtravel.pl/data/gfx/pictures/large/7/9/1197_1.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/7/9/1197_2.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/7/9/1197_3.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/7/9/1197_4.jpg";"https://www.babyandtravel.pl/data/gfx/pictures/large/7/9/1197_5.jpg";"";"";""
